max_bo_tension,ass_curv,max_bo_curv,ass_tension
68.74727631,0.006028125,0.034578089,39.32684326
68.42383575,0.006370974,0.035528541,38.90300751
56.65165329,0.005000908,0.051244454,21.57555008
103.5476608,0.006261624,0.024739805,74.88627625
69.77928162,0.006451225,0.036203397,40.50258255
147.1744843,0.003149438,0.042455202,109.7295456
99.7489624,0.005667164,0.022799899,70.02210999
56.87453461,0.005000364,0.050866957,21.75622368
58.25947189,0.003561958,0.049784628,24.50916672
62.75349045,0.003303419,0.055991002,24.02561378
108.2733612,0.003560127,0.047168919,70.51966095
50.02676773,0.003787643,0.074634003,12.84224224
103.1552811,0.003498795,0.044705101,63.57535172
105.1147766,0.003226204,0.028333118,74.59221649
91.22848511,0.005584956,0.025145909,61.57918549
108.1500702,0.003531755,0.04890433,69.96820068
71.0164566,0.0059127,0.03396955,40.21525955
99.89022827,0.00312628,0.025051823,71.10900116
84.73658752,0.003625666,0.039976256,49.7917366
76.8208847,0.003291257,0.060265984,28.05114937
54.72639465,0.004770156,0.05517933,19.55360413
57.40520477,0.003114927,0.066080196,17.62095833
107.978981,0.003154412,0.027900721,77.11859894
74.4940567,0.003264638,0.059297389,27.22166443
137.050705,0.003071353,0.031928397,104.5608673
102.2517014,0.005637601,0.022761567,73.13531494
70.34719849,0.003267189,0.057163769,26.32902145
55.89962769,0.005168701,0.051902113,21.48773003
90.68700409,0.005841471,0.025376471,62.70666885
141.1685486,0.00301978,0.031397247,108.6073914
77.68474579,0.00328001,0.059757624,28.68286705
68.33924103,0.00631114,0.035423703,39.1083374
161.4762573,0.003155412,0.050438247,123.3055038
76.09262848,0.003670606,0.036411043,45.08942413
56.83105087,0.003534229,0.052237853,23.09549713
112.1785736,0.003028889,0.024656097,81.87480927
56.04468918,0.005332579,0.053455403,21.90572357
74.36773682,0.003678271,0.037032906,42.36965942
92.68397522,0.005555668,0.024981133,62.89478683
72.63119507,0.003286716,0.059088837,27.33231735
140.8961792,0.003016353,0.031415023,108.3538284
87.27848816,0.003625568,0.039136892,52.2256279
62.74908829,0.003302951,0.056005148,24.01880646
116.3078003,0.003317742,0.034162883,84.06610107
56.26306915,0.003399236,0.054416283,21.79101753
70.89306641,0.006075234,0.033714965,41.31007767
95.0039444,0.003238548,0.025907444,66.4298172
92.62031555,0.006380555,0.026835092,64.89927673
69.6082077,0.006409655,0.03580206,40.54233551
72.08040619,0.003725154,0.038186843,40.70802689
90.32723999,0.005862202,0.025502425,62.41648865
76.04669189,0.003675471,0.036000519,44.70178986
92.64850616,0.006426959,0.027109424,64.87801361
113.9369659,0.003285832,0.034610825,81.42201233
141.6439209,0.003020564,0.031690511,109.0985184
61.08026886,0.003245819,0.058410757,21.37884712
54.5104332,0.004923109,0.055035935,19.69678497
55.79151917,0.004993924,0.052481269,21.06647873
57.27421951,0.003602098,0.051345815,23.75809669
175.3311615,0.002954638,0.047149673,140.7604065
57.40276337,0.003504042,0.05127518,23.41184235
103.2394562,0.003051444,0.024180253,74.82348633
72.4723587,0.003268465,0.05703088,27.29092407
98.07704163,0.003364345,0.029631273,67.67674255
69.56879425,0.006058168,0.033654559,40.51278305
130.3933411,0.003099536,0.032722129,97.63604736
51.01796341,0.004241808,0.070532362,14.50727654
69.67345428,0.005976008,0.034319404,40.11021423
52.65537262,0.003235477,0.064224462,17.17677307
92.34339905,0.003165973,0.025547061,63.74708176
70.64409637,0.005764169,0.033782376,39.65657425
57.85064697,0.00310714,0.065386503,17.92582893
108.9258499,0.003244636,0.029572962,78.74136353
173.5057373,0.002769847,0.028937568,142.6744385
113.2809525,0.003291815,0.034546921,80.79611969
91.27751923,0.003259858,0.026871392,63.84744644
49.35634613,0.00352572,0.078116347,11.78008461
70.6995697,0.005922986,0.034171543,40.12300491
115.89534,0.003148812,0.028562841,85.59580994
85.41331482,0.003622814,0.040025469,50.33537292
53.65539932,0.00337188,0.060820696,18.70944595
76.37936401,0.003265642,0.059073746,28.3722229
116.3114395,0.003312973,0.033954804,84.08145905
142.0892181,0.003188025,0.041255235,105.1388702
56.20366287,0.005168142,0.053148984,21.80380249
69.63169098,0.005773678,0.03391199,38.85195541
74.17069244,0.003212686,0.061436812,25.87285233
63.3034668,0.003440532,0.053778537,25.48855782
56.46643829,0.00491297,0.050647363,21.83148956
52.39318848,0.004269703,0.066555941,15.71471882
55.17094803,0.004985084,0.054219346,20.39326668
135.8617554,0.003090823,0.032005763,103.4605484
69.83076477,0.003287804,0.057387129,26.10050774
57.2445488,0.003410895,0.055082773,21.99112511
51.40639114,0.004305081,0.066241746,15.33151245
92.18518066,0.005731089,0.024967567,63.69079208
52.34928131,0.0042755,0.065235724,15.52562428
68.84130096,0.006028986,0.034572377,39.31845856
119.781456,0.002815973,0.021508163,90.55126953
75.5750351,0.003676476,0.038291639,43.81631088
54.99856186,0.004948502,0.054570307,20.10012817
85.941185,0.003297831,0.063125694,31.72938347
56.85824203,0.0049573,0.050105555,22.25955582
56.79755783,0.0054325,0.049059552,23.12409782
92.55209351,0.005564955,0.025018714,62.83332062
52.35508728,0.004226122,0.064971092,15.5207777
150.0620728,0.003112795,0.042255974,112.5105438
54.5060463,0.004939086,0.054836331,19.78782463
97.97679138,0.003347862,0.030096402,67.77609253
78.05669403,0.003651971,0.035607147,47.10222244
98.37727356,0.003117705,0.024908169,70.32439423
126.558754,0.00305861,0.027014854,96.77873993
55.89351273,0.005145116,0.052100175,21.49454498
69.67118073,0.005976404,0.034322197,40.10747147
108.688652,0.005954309,0.024550059,79.79665375
88.95436859,0.005860283,0.025379316,60.4308548
95.79725647,0.003190525,0.027227422,67.14879608
52.87340927,0.003228684,0.06395059,17.30588341
70.20600128,0.00576158,0.033824807,39.26963043
52.35510254,0.00422602,0.064973745,15.50735283
56.71181107,0.004934885,0.05041764,21.99533081
109.1058655,0.003509823,0.049029969,70.66214752
93.75164032,0.003249859,0.026208696,65.24064636
168.4131622,0.003124682,0.052505947,129.9762268
134.2705383,0.003104649,0.032113534,102.0312576
70.69513702,0.00592371,0.034174963,40.11522293
90.96603394,0.005600834,0.025118107,61.25507355
117.1149445,0.002813562,0.022115585,87.90479279
94.17443848,0.00324739,0.026858744,65.73298645
106.631691,0.003262386,0.028192196,75.98607635
103.1959381,0.003498239,0.044699216,63.60755539
57.2263298,0.003512002,0.051892268,23.33941841
51.57125854,0.004468897,0.068015361,15.49737644
69.74306488,0.006252315,0.034862721,40.11603165
51.74475861,0.004229589,0.066188617,15.13922787
118.5085068,0.003270003,0.034041753,85.95996857
72.46588135,0.003268235,0.057040526,27.28358078
